docker exec demoattach jcmd 1 GC.class_histogram
1:
 num     #instances         #bytes  class name (module)
 346:             2            160  [[Ljava.lang.String; (java.base@11.0.8)
 347:             5            160  java.io.File (java.base@11.0.8)
 348:            10            160  java.lang.ThreadLocal (java.base@11.0.8)
 349:             2            160  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLIIL (java.base@11.0.8)
 350:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@11.0.8)
 351:             5            160  java.net.HostPortrange (java.base@11.0.8)
 352:            10            160  java.util.Formatter$Flags (java.base@11.0.8)
 353:             5            160  java.util.ImmutableCollections$MapN (java.base@11.0.8)
 354:             5            160  java.util.RegularEnumSet (java.base@11.0.8)
 355:             5            160  javax.management.StandardEmitterMBean (java.management@11.0.8)
 356:             4            160  sun.rmi.transport.WeakRef (java.rmi@11.0.8)
 357:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@11.0.8)
 358:             5            160  sun.util.resources.Bundles$CacheKey (java.base@11.0.8)
 359:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@11.0.8)
 360:             6            144  [Ljava.util.regex.Pattern$Node; (java.base@11.0.8)
 361:             6            144  java.lang.Thread$State (java.base@11.0.8)
