jmap -histo 7

 num     #instances         #bytes  class name
 394:             1             24  jdk.nashorn.internal.codegen.Namespace
 395:             1             24  jdk.nashorn.internal.runtime.AccessorProperty$1
 396:             1             24  jdk.nashorn.internal.runtime.GlobalConstants
 397:             1             24  jdk.nashorn.internal.runtime.arrays.ArrayData$UntouchedArrayData
 398:             1             24  jdk.nashorn.internal.runtime.linker.NashornBeansLinker$1
 399:             1             24  jdk.nashorn.internal.runtime.linker.NashornCallSiteDescriptor$1
 400:             1             24  jdk.nashorn.internal.runtime.linker.NashornLinker$1
 401:             1             24  jdk.nashorn.internal.runtime.logging.DebugLogger
 402:             1             24  jdk.nashorn.internal.runtime.logging.DebugLogger$1
 403:             1             24  sun.launcher.LauncherHelper
 404:             1             24  sun.nio.cs.ISO_8859_1
 405:             1             24  sun.nio.cs.US_ASCII
 406:             1             24  sun.nio.cs.UTF_16
 407:             1             24  sun.nio.cs.UTF_16BE
 408:             1             24  sun.nio.cs.UTF_16LE
 409:             1             24  sun.nio.cs.UTF_8
 410:             1             24  sun.util.locale.BaseLocale$Cache
 411:             1             16  [D
 412:             1             16  [F
 413:             1             16  [Ljava.lang.Enum;
 414:             1             16  [Ljava.lang.Throwable;
 415:             1             16  [Ljava.security.cert.Certificate;
 416:             1             16  [Ljava.util.logging.Handler;
 417:             1             16  [Z
 418:             1             16  java.beans.Statement$1
 419:             1             16  java.io.FileDescriptor$1
 420:             1             16  java.lang.ApplicationShutdownHooks$1
 421:             1             16  java.lang.CharacterDataLatin1
 422:             1             16  java.lang.Float
 423:             1             16  java.lang.ProcessEnvironment$StringEntrySet
 424:             1             16  java.lang.Runtime
 425:             1             16  java.lang.String$CaseInsensitiveComparator
 426:             1             16  java.lang.System$2
 427:             1             16  java.lang.Terminator$1
 428:             1             16  java.lang.invoke.MemberName$Factory
 429:             1             16  java.lang.invoke.MethodHandleImpl$2
 430:             1             16  java.lang.invoke.MethodHandleImpl$3
 431:             1             16  java.lang.ref.Reference$1
 432:             1             16  java.lang.ref.Reference$Lock
 433:             1             16  java.lang.reflect.Proxy$KeyFactory
 434:             1             16  java.lang.reflect.Proxy$ProxyClassFactory
 435:             1             16  java.lang.reflect.ReflectAccess
 436:             1             16  java.net.URLClassLoader$7
 437:             1             16  java.nio.Bits$1
 438:             1             16  java.nio.charset.CoderResult$1
 439:             1             16  java.nio.charset.CoderResult$2
 440:             1             16  java.security.ProtectionDomain$2
 441:             1             16  java.security.ProtectionDomain$JavaSecurityAccessImpl
 442:             1             16  java.util.Collections$EmptyIterator
 443:             1             16  java.util.Collections$EmptyList
 444:             1             16  java.util.Collections$EmptySet
 445:             1             16  java.util.Collections$UnmodifiableSet
 446:             1             16  java.util.EnumMap$1
 447:             1             16  java.util.HashMap$KeySet
 448:             1             16  java.util.Hashtable$EntrySet
 449:             1             16  java.util.IdentityHashMap$EntrySet
 450:             1             16  java.util.ResourceBundle$Control
 451:             1             16  java.util.TreeMap$KeySet
 452:             1             16  java.util.TreeSet
 453:             1             16  java.util.WeakHashMap$KeySet
 454:             1             16  java.util.concurrent.atomic.AtomicBoolean
 455:             1             16  java.util.jar.JavaUtilJarAccessImpl
 456:             1             16  java.util.logging.ErrorManager
 457:             1             16  java.util.logging.LoggingProxyImpl
 458:             1             16  java.util.regex.Pattern$4
 459:             1             16  java.util.regex.Pattern$LastNode
 460:             1             16  java.util.regex.Pattern$Node
 461:             1             16  java.util.zip.ZipFile$1
 462:             1             16  jdk.internal.dynalink.beans.BeansLinker
 463:             1             16  jdk.internal.dynalink.beans.StaticClassLinker
 464:             1             16  jdk.internal.dynalink.support.CompositeGuardingDynamicLinker
 465:             1             16  jdk.internal.dynalink.support.CompositeTypeBasedGuardingDynamicLinker
 466:             1             16  jdk.internal.dynalink.support.Lookup
 467:             1             16  jdk.nashorn.internal.lookup.MethodHandleFactory$StandardMethodHandleFunctionality
 468:             1             16  jdk.nashorn.internal.objects.annotations.SpecializedFunction$LinkLogic$Empty
 469:             1             16  jdk.nashorn.internal.runtime.linker.Bootstrap$1
 470:             1             16  jdk.nashorn.internal.runtime.linker.Bootstrap$2
 471:             1             16  jdk.nashorn.internal.runtime.linker.BoundCallableLinker
 472:             1             16  jdk.nashorn.internal.runtime.linker.BrowserJSObjectLinker
 473:             1             16  jdk.nashorn.internal.runtime.linker.JSObjectLinker
 474:             1             16  jdk.nashorn.internal.runtime.linker.JavaSuperAdapterLinker
 475:             1             16  jdk.nashorn.internal.runtime.linker.NashornBeansLinker
 476:             1             16  jdk.nashorn.internal.runtime.linker.NashornBottomLinker
 477:             1             16  jdk.nashorn.internal.runtime.linker.NashornLinker
 478:             1             16  jdk.nashorn.internal.runtime.linker.NashornPrimitiveLinker
 479:             1             16  jdk.nashorn.internal.runtime.linker.NashornStaticClassLinker
 480:             1             16  jdk.nashorn.internal.runtime.linker.ReflectionCheckLinker
 481:             1             16  jdk.nashorn.internal.runtime.logging.DebugLogger$1$1
 482:             1             16  jdk.nashorn.tools.Shell
 483:             1             16  sun.misc.ASCIICaseInsensitiveComparator
 484:             1             16  sun.misc.Launcher
 485:             1             16  sun.misc.Launcher$Factory
 486:             1             16  sun.misc.Perf
 487:             1             16  sun.misc.Unsafe
 488:             1             16  sun.net.www.protocol.file.Handler
 489:             1             16  sun.net.www.protocol.jar.JarFileFactory
 490:             1             16  sun.nio.fs.LinuxFileSystemProvider
 491:             1             16  sun.reflect.ReflectionFactory
 492:             1             16  sun.util.calendar.Gregorian
 493:             1             16  sun.util.locale.InternalLocaleBuilder$CaseInsensitiveChar
Total         35834        1818328
