docker exec demoattach jcmd 1 GC.class_histogram
1:
 num     #instances         #bytes  class name (module)
 336:             3            160  [Ljava.util.logging.Level; (java.logging@11.0.8)
 337:             2            160  [[Ljava.lang.String; (java.base@11.0.8)
 338:             5            160  java.io.File (java.base@11.0.8)
 339:            10            160  java.lang.ThreadLocal (java.base@11.0.8)
 340:             2            160  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLIIL (java.base@11.0.8)
 341:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@11.0.8)
 342:             5            160  java.net.HostPortrange (java.base@11.0.8)
 343:            10            160  java.util.Formatter$Flags (java.base@11.0.8)
 344:             5            160  java.util.ImmutableCollections$MapN (java.base@11.0.8)
 345:             5            160  java.util.RegularEnumSet (java.base@11.0.8)
 346:             5            160  javax.management.StandardEmitterMBean (java.management@11.0.8)
 347:             4            160  sun.rmi.transport.WeakRef (java.rmi@11.0.8)
 348:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@11.0.8)
 349:             5            160  sun.util.resources.Bundles$CacheKey (java.base@11.0.8)
 350:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@11.0.8)
 351:             6            144  [Ljava.util.regex.Pattern$Node; (java.base@11.0.8)
 352:             6            144  java.lang.Thread$State (java.base@11.0.8)
 353:             6            144  java.lang.invoke.StringConcatFactory$Strategy (java.base@11.0.8)
 354:             6            144  java.lang.invoke.VarForm (java.base@11.0.8)
 355:             3            144  java.net.SocketCleanable (java.base@11.0.8)
 356:             6            144  java.net.SocketPermissionCollection (java.base@11.0.8)
 357:             3            144  java.time.temporal.JulianFields$Field (java.base@11.0.8)
 358:             9            144  java.util.concurrent.ConcurrentHashMap$ValuesView (java.base@11.0.8)
 359:             6            144  java.util.regex.Pattern$BmpCharProperty (java.base@11.0.8)
 360:             1            136  [Ljava.time.temporal.ChronoField; (java.base@11.0.8)
 361:             4            136  [Lsun.invoke.util.ValueConversions$WrapperCache; (java.base@11.0.8)
 362:             4            128  [Ljava.rmi.server.Operation; (java.rmi@11.0.8)
 363:             4            128  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping (java.management@11.0.8)
